"filename","version","Id","value"
"bootctl","1.1","UNKNOWN",2
"bootctl","2.0","UNKNOWN",2
"bootctl","2.1","UNKNOWN",2
"bootctl","2.1.post1","UNKNOWN",2
"busctl","1.1","UNKNOWN",2
"busctl","2.0","UNKNOWN",2
"busctl","2.1","UNKNOWN",2
"busctl","2.1.post1","UNKNOWN",2
"cjpeg","1.1","UNKNOWN",2
"cjpeg","2.0","UNKNOWN",2
"cjpeg","2.1","UNKNOWN",2
"cjpeg","2.1.post1","UNKNOWN",2
"dbus-daemon","1.1","UNKNOWN",2
"dbus-daemon","2.0","UNKNOWN",2
"dbus-daemon","2.1","UNKNOWN",2
"dbus-daemon","2.1.post1","UNKNOWN",2
"fidentify","1.1","UNKNOWN",2
"fidentify","2.0","UNKNOWN",2
"fidentify","2.1","UNKNOWN",2
"fidentify","2.1.post1","UNKNOWN",2
"journalctl","1.1","UNKNOWN",2
"journalctl","2.0","UNKNOWN",2
"journalctl","2.1","UNKNOWN",2
"journalctl","2.1.post1","UNKNOWN",2
"light-locker","1.1","UNKNOWN",2
"light-locker","2.0","UNKNOWN",2
"light-locker","2.1","UNKNOWN",2
"light-locker","2.1.post1","UNKNOWN",2
"logger","1.1","UNKNOWN",2
"logger","2.0","UNKNOWN",2
"logger","2.1","UNKNOWN",2
"logger","2.1.post1","UNKNOWN",2
"loginctl","1.1","UNKNOWN",2
"loginctl","2.0","UNKNOWN",2
"loginctl","2.1","UNKNOWN",2
"loginctl","2.1.post1","UNKNOWN",2
"lslogins","1.1","UNKNOWN",2
"lslogins","2.0","UNKNOWN",2
"lslogins","2.1","UNKNOWN",2
"lslogins","2.1.post1","UNKNOWN",2
"networkctl","1.1","UNKNOWN",2
"networkctl","2.0","UNKNOWN",2
"networkctl","2.1","UNKNOWN",2
"networkctl","2.1.post1","UNKNOWN",2
"openfortivpn","1.1","UNKNOWN",2
"openfortivpn","2.0","UNKNOWN",2
"openfortivpn","2.1","UNKNOWN",2
"openfortivpn","2.1.post1","UNKNOWN",2
"photorec","1.1","UNKNOWN",2
"photorec","2.0","UNKNOWN",2
"photorec","2.1","UNKNOWN",2
"photorec","2.1.post1","UNKNOWN",2
"pulseaudio","1.1","UNKNOWN",2
"pulseaudio","2.0","UNKNOWN",2
"pulseaudio","2.1","UNKNOWN",2
"pulseaudio","2.1.post1","UNKNOWN",2
"resolvectl","1.1","UNKNOWN",2
"resolvectl","2.0","UNKNOWN",2
"resolvectl","2.1","UNKNOWN",2
"resolvectl","2.1.post1","UNKNOWN",2
"scanimage","1.1","UNKNOWN",2
"scanimage","2.0","UNKNOWN",2
"scanimage","2.1","UNKNOWN",2
"scanimage","2.1.post1","UNKNOWN",2
"stunnel4","1.1","UNKNOWN",2
"stunnel4","2.0","UNKNOWN",2
"stunnel4","2.1","UNKNOWN",2
"stunnel4","2.1.post1","UNKNOWN",2
"systemctl","1.1","UNKNOWN",2
"systemctl","2.0","UNKNOWN",2
"systemctl","2.1","UNKNOWN",2
"systemctl","2.1.post1","UNKNOWN",2
"systemd-analyze","1.1","UNKNOWN",2
"systemd-analyze","2.0","UNKNOWN",2
"systemd-analyze","2.1","UNKNOWN",2
"systemd-analyze","2.1.post1","UNKNOWN",2
"systemd-hwdb","1.1","UNKNOWN",2
"systemd-hwdb","2.0","UNKNOWN",2
"systemd-hwdb","2.1","UNKNOWN",2
"systemd-hwdb","2.1.post1","UNKNOWN",2
"systemd-mount","1.1","UNKNOWN",2
"systemd-mount","2.0","UNKNOWN",2
"systemd-mount","2.1","UNKNOWN",2
"systemd-mount","2.1.post1","UNKNOWN",2
"systemd-run","1.1","UNKNOWN",2
"systemd-run","2.0","UNKNOWN",2
"systemd-run","2.1","UNKNOWN",2
"systemd-run","2.1.post1","UNKNOWN",2
"systemd-sysusers","1.1","UNKNOWN",2
"systemd-sysusers","2.0","UNKNOWN",2
"systemd-sysusers","2.1","UNKNOWN",2
"systemd-sysusers","2.1.post1","UNKNOWN",2
"systemd-tmpfiles","1.1","UNKNOWN",2
"systemd-tmpfiles","2.0","UNKNOWN",2
"systemd-tmpfiles","2.1","UNKNOWN",2
"systemd-tmpfiles","2.1.post1","UNKNOWN",2
"Xtightvnc","1.1","UNKNOWN",2
"Xtightvnc","2.0","UNKNOWN",2
"Xtightvnc","2.1","UNKNOWN",2
"Xtightvnc","2.1.post1","UNKNOWN",2
"xtightvncviewer","1.1","UNKNOWN",2
"xtightvncviewer","2.0","UNKNOWN",2
"xtightvncviewer","2.1","UNKNOWN",2
"xtightvncviewer","2.1.post1","UNKNOWN",2
"Xvfb","1.1","UNKNOWN",2
"Xvfb","2.0","UNKNOWN",2
"Xvfb","2.1","UNKNOWN",2
"Xvfb","2.1.post1","UNKNOWN",2
"zip","2.0","UNKNOWN",4
"zip","2.1","UNKNOWN",4
"zip","2.1.post1","UNKNOWN",4
"zipcloak","2.0","UNKNOWN",4
"zipcloak","2.1","UNKNOWN",4
"zipcloak","2.1.post1","UNKNOWN",4
"zipnote","2.0","UNKNOWN",4
"zipnote","2.1","UNKNOWN",4
"zipnote","2.1.post1","UNKNOWN",4
"zipsplit","2.0","UNKNOWN",4
"zipsplit","2.1","UNKNOWN",4
"zipsplit","2.1.post1","UNKNOWN",4
